ds,y,LSTM,Naive,week,KAN,SARIMAX,state
2025-03-08 16:00:00,2.3883333333333354,43.755257,44.35833333333333,Week 2,53.66535,5.373497192067148,NSW
2025-03-08 17:00:00,72.455,66.255455,141.21583333333334,Week 2,95.12604,79.40966837615275,NSW
2025-03-08 18:00:00,95.80833333333334,81.97562,214.21666666666664,Week 2,103.01803,134.3415532358989,NSW
2025-03-08 19:00:00,97.99583333333334,80.4272,138.57166666666666,Week 2,110.25446,117.03512890553525,NSW
2025-03-08 20:00:00,89.44833333333334,72.68402,123.42083333333332,Week 2,90.0123,91.66309072874031,NSW
2025-03-08 21:00:00,84.14666666666666,69.02443,122.26333333333334,Week 2,87.106865,87.80120185308417,NSW
2025-03-08 22:00:00,79.795,66.2604,134.28083333333333,Week 2,85.99847,89.52918094635311,NSW
2025-03-08 23:00:00,77.51583333333333,65.998665,126.23999999999998,Week 2,75.61905,80.37265853865118,NSW
2025-03-09 00:00:00,75.74833333333333,60.763416,97.60083333333334,Week 2,74.49538,68.24832607205497,NSW
2025-03-09 01:00:00,81.10083333333334,57.34722,82.12666666666667,Week 2,74.72735,66.147180503378,NSW
2025-03-09 02:00:00,76.53833333333334,56.842964,83.17416666666666,Week 2,62.320118,60.03592108655143,NSW
2025-03-09 03:00:00,76.76583333333333,53.831734,78.80833333333334,Week 2,67.97818,51.91571023111332,NSW
2025-03-09 04:00:00,66.88750000000002,56.07097,74.98083333333334,Week 2,66.50355,51.11879012854394,NSW
2025-03-09 05:00:00,59.39166666666666,55.545845,86.60166666666667,Week 2,88.033676,58.06988662705473,NSW
2025-03-09 06:00:00,47.81416666666666,53.86444,62.46333333333333,Week 2,76.89569,55.70254999346705,NSW
2025-03-09 07:00:00,-3.094166666666652,37.16595,14.37166666666667,Week 2,50.10073,-60.68845588746088,NSW
2025-03-09 08:00:00,7.140000000000001,27.632942,11.085000000000008,Week 2,30.55045,-36.421198120386535,NSW
2025-03-09 09:00:00,-16.88333333333334,26.68449,19.26666666666668,Week 2,35.787434,-38.65461134511808,NSW
2025-03-09 10:00:00,-20.42666666666664,35.035225,0.0549999999999926,Week 2,29.154865,-18.98001003058765,NSW
2025-03-09 11:00:00,-3.5658333333333303,38.701534,-5.87166666666667,Week 2,36.483097,-13.625335175188797,NSW
2025-03-09 12:00:00,7.926666666666648,42.134926,-9.56416666666668,Week 2,47.782112,-1.2274822541073291,NSW
2025-03-09 13:00:00,8.4375,48.187763,-29.231666666666683,Week 2,40.303154,14.060133927139802,NSW
2025-03-09 14:00:00,56.8,61.600517,14.28583333333333,Week 2,48.227398,52.13550337285684,NSW
2025-03-09 15:00:00,56.74916666666666,75.91516,32.45500000000001,Week 2,48.909184,74.26746793880159,NSW
2025-03-09 16:00:00,29.428333333333327,73.51268,41.5925,Week 2,76.922615,74.5243696161953,NSW
2025-03-09 17:00:00,71.12416666666667,85.44117,93.5625,Week 2,106.49182,115.958529821347,NSW
2025-03-09 18:00:00,96.28083333333332,92.02067,90.24,Week 2,127.17386,161.005375150015,NSW
2025-03-09 19:00:00,66.7225,85.6842,65.11583333333333,Week 2,126.69949,127.79612776789058,NSW
2025-03-09 20:00:00,67.07166666666667,81.7788,56.3475,Week 2,109.82317,107.56387005078264,NSW
2025-03-09 21:00:00,83.26083333333334,79.79183,50.615,Week 2,99.390755,97.09925861678984,NSW
2025-03-09 22:00:00,84.17,81.32199,40.9875,Week 2,88.53357,100.89947131744192,NSW
2025-03-09 23:00:00,77.97416666666668,78.91816,41.58166666666667,Week 2,84.933586,90.34759574479834,NSW
2025-03-10 00:00:00,81.78083333333333,73.00118,55.2,Week 2,85.252975,77.15538231845353,NSW
2025-03-10 01:00:00,72.10583333333334,66.248474,58.59333333333333,Week 2,83.47304,70.71690984291692,NSW
2025-03-10 02:00:00,75.20166666666667,64.26379,59.10916666666666,Week 2,73.846436,65.53867163687292,NSW
2025-03-10 03:00:00,68.21666666666667,64.02641,59.21249999999999,Week 2,68.6513,59.044776875231776,NSW
2025-03-10 04:00:00,65.08416666666668,69.6336,58.13916666666667,Week 2,84.99005,62.99997506446445,NSW
2025-03-10 05:00:00,77.76333333333334,84.10396,82.86833333333333,Week 2,112.04127,88.91493412963753,NSW
2025-03-10 06:00:00,87.94583333333333,97.89473,105.42833333333331,Week 2,102.71892,109.92155942954815,NSW
2025-03-10 07:00:00,83.31416666666667,92.03698,48.82916666666668,Week 2,76.617615,58.960269326635846,NSW
2025-03-10 08:00:00,74.66166666666666,82.87979,49.15,Week 2,74.876724,70.66956388684302,NSW
2025-03-10 09:00:00,73.78916666666667,81.96225,54.13416666666666,Week 2,67.95345,72.36852934845753,NSW
2025-03-10 10:00:00,74.80666666666667,81.5573,27.966666666666683,Week 2,64.9787,69.12532683548346,NSW
2025-03-10 11:00:00,75.74333333333334,81.66171,44.74333333333333,Week 2,66.98451,71.35440667914625,NSW
2025-03-10 12:00:00,62.205,82.802444,29.23833333333333,Week 2,63.55268,77.0088538272271,NSW
2025-03-10 13:00:00,69.30749999999999,85.30698,32.08,Week 2,59.366776,81.78950230792042,NSW
2025-03-10 14:00:00,72.92416666666666,89.642296,48.3025,Week 2,73.34827,88.94469066974582,NSW
2025-03-10 15:00:00,69.8625,90.32856,41.03,Week 2,64.05132,85.10241386798131,NSW
2025-03-10 16:00:00,75.60416666666667,92.250565,118.92166666666668,Week 2,85.40983,84.83218625910669,NSW
2025-03-10 17:00:00,79.33749999999999,95.51073,61.65166666666666,Week 2,111.84075,112.43299327219952,NSW
2025-03-10 18:00:00,89.42666666666666,101.58627,165.38166666666666,Week 2,135.50807,157.89444285180298,NSW
2025-03-10 19:00:00,79.59916666666666,94.52421,118.35833333333332,Week 2,116.26641,123.57239600929404,NSW
2025-03-10 20:00:00,69.31333333333333,90.55492,93.3625,Week 2,102.256454,98.42837854724756,NSW
2025-03-10 21:00:00,74.06833333333333,89.943436,74.37583333333333,Week 2,87.53797,90.4966788846458,NSW
2025-03-10 22:00:00,75.9675,88.59356,80.44250000000001,Week 2,80.11035,91.66799517444362,NSW
2025-03-10 23:00:00,71.835,80.04785,81.57833333333333,Week 2,85.1498,77.11578859900865,NSW
2025-03-11 00:00:00,73.49833333333333,74.63559,81.365,Week 2,74.95109,65.88511487590053,NSW
2025-03-11 01:00:00,72.95666666666666,71.622826,75.18166666666666,Week 2,75.54709,62.38651700351706,NSW
2025-03-11 02:00:00,81.44083333333333,73.17206,71.75666666666667,Week 2,70.30971,58.44722107853303,NSW
2025-03-11 03:00:00,77.655,79.50301,73.82000000000001,Week 2,74.28437,59.335763539652845,NSW
2025-03-11 04:00:00,95.39416666666666,84.204475,80.36333333333333,Week 2,93.177986,63.10416681772784,NSW
2025-03-11 05:00:00,121.72166666666668,100.11102,120.39833333333333,Week 2,98.05165,90.91792863131928,NSW
2025-03-11 06:00:00,189.995,111.8326,143.80916666666667,Week 2,92.169876,110.74935053278918,NSW
2025-03-11 07:00:00,92.08083333333332,97.354614,9.373333333333337,Week 2,69.66238,46.011867459665176,NSW
2025-03-11 08:00:00,65.80166666666666,94.14258,-8.041666666666671,Week 2,56.368107,62.164214442067504,NSW
2025-03-11 09:00:00,59.75833333333333,73.75064,17.93083333333334,Week 2,32.767902,39.31174830118248,NSW
2025-03-11 10:00:00,51.20333333333333,74.95788,31.08333333333333,Week 2,43.709335,40.052368154028784,NSW
2025-03-11 11:00:00,78.375,78.90325,33.565833333333345,Week 2,40.682003,46.963329047925626,NSW
2025-03-11 12:00:00,60.30166666666667,75.657845,30.26166666666667,Week 2,39.54029,45.583817431560526,NSW
2025-03-11 13:00:00,69.16083333333334,72.295715,63.290000000000006,Week 2,39.321697,41.07798962880988,NSW
2025-03-11 14:00:00,65.32333333333334,72.39836,36.6125,Week 2,26.580685,38.29368309494503,NSW
2025-03-11 15:00:00,45.83083333333333,77.592865,42.09166666666667,Week 2,35.59893,43.264338199880825,NSW
2025-03-11 16:00:00,43.47749999999999,86.01965,75.28666666666666,Week 2,40.476643,55.18541458447993,NSW
2025-03-11 17:00:00,95.305,110.379715,160.6825,Week 2,87.46187,106.1111368362296,NSW
2025-03-11 18:00:00,125.8175,120.60651,227.2725,Week 2,105.19371,154.67504401396968,NSW
2025-03-11 19:00:00,81.80166666666666,113.150734,196.8241666666666,Week 2,107.31177,122.22575735998178,NSW
2025-03-11 20:00:00,76.86833333333333,97.26355,135.21083333333334,Week 2,85.7868,89.7717703107735,NSW
2025-03-11 21:00:00,80.46166666666666,89.06991,109.4575,Week 2,78.50919,78.87737544116699,NSW
2025-03-11 22:00:00,79.54333333333334,84.36337,98.14166666666668,Week 2,68.99165,77.60350500799413,NSW
2025-03-11 23:00:00,84.30833333333334,79.78074,101.75083333333332,Week 2,67.480835,68.22377107977675,NSW
2025-03-12 00:00:00,79.6075,73.852036,94.16666666666669,Week 2,62.923042,56.41616989031284,NSW
2025-03-12 01:00:00,74.585,69.97503,92.12833333333332,Week 2,66.38159,54.16040949002213,NSW
2025-03-12 02:00:00,81.75666666666667,68.976364,84.75916666666667,Week 2,65.3818,47.20608640366069,NSW
2025-03-12 03:00:00,79.86416666666666,70.3798,79.665,Week 2,71.08805,44.49275363421713,NSW
2025-03-12 04:00:00,76.93333333333334,76.55261,76.79,Week 2,81.69789,52.14928835184136,NSW
2025-03-12 05:00:00,83.28666666666668,90.62819,101.49166666666667,Week 2,102.805954,79.67294851240459,NSW
2025-03-12 06:00:00,105.23333333333332,105.72059,129.28333333333333,Week 2,86.93718,98.51141950215464,NSW
